U+4E01		丁	⿱一亅
U+4ED4		仔	⿰亻子
U+4ED5		仕	⿰亻士
U+4ED6		他	⿰亻也
U+4ED7		仗	⿰亻丈
U+4ED8		付	⿰亻寸
U+4ED9		仙	⿰亻山
U+4EDE		仞	⿰亻刃
U+4EDF		仟	⿰亻千
U+4EE3		代	⿰亻弋
U+4EE4		令	⿱亽龴
U+4EE5		以	以
U+4EF0		仰	⿰亻卬
U+4EF2		仲	⿰亻中
U+4EF3		仳	⿰亻比
U+4EF6		件	⿰亻牛
U+4EFB		任	⿰亻壬
U+4EFD		份	⿰亻分
U+4EFF		仿	⿰亻方
U+4F01		企	⿱人止
U+4F09		伉	⿰亻亢
U+4F0A		伊	⿰亻尹
U+4F0D		伍	⿰亻五
U+4F0F		伏	⿰亻犬
U+4F10		伐	⿰亻戈
U+4F11		休	⿰亻木
U+4F15		伕	⿰亻夫
U+4F19		伙	⿰亻火
U+4F2F		伯	⿰亻白
U+4F30		估	⿰亻古
U+4F34		伴	⿰亻半
U+4F36		伶	⿰亻令
U+4F38		伸	⿰亻申
U+4F3A		伺	⿰亻司
U+4F3C		似	⿰亻以
U+4F3D		伽	⿰亻加
U+4F43		佃	⿰亻田
U+4F46		但	⿰亻旦
U+4F47		佇	⿰亻宁
U+4F4D		位	⿰亻立
U+4F4E		低	⿰亻氐
U+4F4F		住	⿰亻主
U+4F50		佐	⿰亻左
U+4F51		佑	⿰亻右
U+4F54		佔	⿰亻占
U+4F55		何	⿰亻可
U+4F57		佗	⿰亻它
U+4F59		余	⿱亼朩
U+4F5B		佛	⿰亻弗
U+4F5C		作	⿰亻乍
U+4F5D		佝	⿰亻句
U+4F5E		佞	⿰亻𡚬
U+4F60		你	⿰亻尔
U+4F63		佣	⿰亻用
U+4F69		佩	⿰亻𫥞
U+4F6C		佬	⿰亻老
U+4F6F		佯	⿰亻羊
U+4F70		佰	⿰亻百
U+4F73		佳	⿰亻圭
U+4F75		併	⿰亻并
U+4F7B		佻	⿰亻兆
U+4F7E		佾	⿰亻䏌
U+4F7F		使	⿰亻吏
U+4F83		侃	⿰亻⿱口𫶧
U+4F86		來	來
U+4F88		侈	⿰亻多
U+4F8B		例	⿰亻列
U+4F8D		侍	⿰亻寺
U+4F8F		侏	⿰亻朱
U+4F96		侖	⿱亼𠕁
U+4F9B		供	⿰亻共
U+4F9D		依	⿰亻衣
U+4FAE		侮	⿰亻每
U+4FAF		侯	⿰亻⿱ユ矢
U+4FB5		侵	⿰亻𠬶
U+4FB6		侶	⿰亻呂
U+4FBF		便	⿰亻更
U+4FC2		係	⿰亻系
U+4FC3		促	⿰亻足
U+4FC4		俄	⿰亻我
U+4FCA		俊	⿰亻夋
U+4FCE		俎	⿰仌且
U+4FCF		俏	⿰亻肖
U+4FD0		俐	⿰亻利
U+4FD1		俑	⿰亻甬
U+4FD7		俗	⿰亻谷
U+4FD8		俘	⿰亻孚
U+4FDA		俚	⿰亻里
U+4FDD		保	⿰亻呆
U+4FDE		俞	⿱亼刖
U+4FDF		俟	⿰亻矣
U+4FE0		俠	⿰亻夾
U+4FE1		信	⿰亻言
U+4FEE		修	⿰⿰亻丨⿱夂彡
U+4FEF		俯	⿰亻府
U+4FF1		俱	⿰亻具
U+4FF3		俳	⿰亻非
U+4FF8		俸	⿰亻奉
U+4FFA		俺	⿰亻奄
U+4FFE		俾	⿰亻卑
U+5000		倀	⿰亻長
U+5006		倆	⿰亻兩
U+5009		倉	⿱亽⿸⿴尸一口
U+500B		個	⿰亻固
U+500C		倌	⿰亻官
U+500D		倍	⿰亻咅
U+500F		倏	⿰⿰亻丨⿱夂犬
U+5011		們	⿰亻門
U+5012		倒	⿰亻到
U+5014		倔	⿰亻屈
U+5016		倖	⿰亻幸
U+5018		倘	⿰亻尚
U+5019		候	⿰⿰亻丨⿱ユ矢
U+501A		倚	⿰亻奇
U+501F		借	⿰亻昔
U+5021		倡	⿰亻昌
U+5023		倣	⿰亻放
U+5025		倥	⿰亻空
U+5026		倦	⿰亻卷
U+5028		倨	⿰亻居
U+5029		倩	⿰亻青
U+502A		倪	⿰亻兒
U+502B		倫	⿰亻侖
U+502D		倭	⿰亻委
U+503C		值	⿰亻直
U+5043		偃	⿰亻匽
U+5047		假	⿰亻叚
U+5049		偉	⿰亻韋
U+504C		偌	⿰亻若
U+504E		偎	⿰亻畏
U+504F		偏	⿰亻扁
U+5055		偕	⿰亻皆
U+505A		做	⿰亻故
U+505C		停	⿰亻亭
U+5065		健	⿰亻建
U+5074		側	⿰亻則
U+5075		偵	⿰亻貞
U+5076		偶	⿰亻禺
U+5077		偷	⿰亻俞
U+507A		偺	⿰亻昝
U+507D		偽	⿰亻為
U+5080		傀	⿰亻鬼
U+5085		傅	⿰亻尃
U+508D		傍	⿰亻旁
U+5091		傑	⿰亻桀
U+5096		傖	⿰亻倉
U+5098		傘	傘
U+5099		備	⿰亻𤰇
U+50A2		傢	⿰亻家
U+50AC		催	⿰亻崔
U+50AD		傭	⿰亻庸
U+50AF		傯	⿰亻悤
U+50B2		傲	⿰亻敖
U+50B3		傳	⿰亻專
U+50B5		債	⿰亻責
U+50B7		傷	⿰亻𬀷
U+50BB		傻	⿰亻𡕩
U+50BE		傾	⿰亻頃
U+50C5		僅	⿰亻堇
U+50CF		像	⿰亻象
U+50D1		僑	⿰亻喬
U+50D5		僕	⿰亻菐
U+50D6		僖	⿰亻喜
U+50DA		僚	⿰亻尞
U+50E5		僥	⿰亻堯
U+50E7		僧	⿰亻曾
U+50ED		僭	⿰亻朁
U+50EE		僮	⿰亻童
U+50F1		僱	⿰亻雇
U+50F5		僵	⿰亻畺
U+50F9		價	⿰亻賈
U+50FB		僻	⿰亻辟
U+5100		儀	⿰亻義
U+5102		儂	⿰亻農
U+5104		億	⿰亻意
U+5108		儈	⿰亻會
U+5109		儉	⿰亻僉
U+5110		儐	⿰亻賓
U+5112		儒	⿰亻需
U+5114		儔	⿰亻壽
U+5118		儘	⿰亻盡
U+511F		償	⿰亻賞
U+5121		儡	⿰亻畾
U+512A		優	⿰亻憂
U+5132		儲	⿰亻諸
U+5137		儷	⿰亻麗
U+513C		儼	⿰亻嚴
U+5140		兀	⿱一儿
U+5141		允	⿱厶儿
U+5143		元	⿱一兀
U+5144		兄	⿱口儿
U+5145		充	⿱𠫓儿
U+5146		兆	兆
U+5147		兇	⿱凶儿
U+5148		先	⿱𠂒儿
U+5149		光	⿱⺌兀
U+514B		克	⿱古儿
U+514C		兌	⿱八兄
U+514D		免	⿳𠂊𫩏儿
U+5152		兒	⿱臼儿
U+5154		兔	⿷免丶
U+5155		兕	⿱凹儿
U+5157		兗	⿱亠兌
U+515C		兜	兜
U+5162		兢	⿰克克
U+5165		入	入
U+5167		內	內
U+5168		全	⿱人王
U+5169		兩	兩
U+516B		八	八
U+516C		公	⿱八厶
U+516D		六	⿱亠八
U+516E		兮	⿱八丂
U+5171		共	⿱龷八
U+5175		兵	⿱丘八
U+5176		其	其
U+5177		具	⿱⿴且一八
U+5178		典	典
U+517C		兼	兼
U+5180		冀	⿱北異
U+5189		冉	冉
U+518A		冊	冊
U+518D		再	⿱一冉
U+5191		冑	⿱由冃
U+5192		冒	⿱冃目
U+5195		冕	⿱冃免
U+5197		冗	⿱冖几
U+51A0		冠	⿱冖㝴
U+51A2		冢	⿱冖豖
U+51A4		冤	⿱冖兔
U+51A5		冥	⿱冖昗
U+51AC		冬	⿱夂⺀
U+51B0		冰	⿰冫水
U+51B6		冶	⿰冫台
U+51B7		冷	⿰冫令
U+51BD		冽	⿰冫列
U+51C6		准	⿰冫隹
U+51CB		凋	⿰冫周
U+51CC		凌	⿰冫夌
U+51CD		凍	⿰冫東
U+51DC		凜	⿰冫稟
U+51DD		凝	⿰冫疑
U+51E0		几	几
U+51E1		凡	⿵几丶
U+51F0		凰	⿵几皇
U+51F1		凱	⿰豈几
U+51F3		凳	⿱登几
U+51F6		凶	⿶凵㐅
U+51F8		凸	凸
U+51F9		凹	凹
U+51FA		出	⿱屮凵
U+51FD		函	函
U+5200		刀	⿹𠃌丿
U+5201		刁	⿹𠃌㇀
U+5203		刃	⿹刀丿
U+5206		分	⿱八刀
U+5207		切	⿰七刀
U+5208		刈	⿰㐅刂
U+520A		刊	⿰干刂
U+520E		刎	⿰勿刂
U+5211		刑	⿰开刂
U+5212		划	⿰戈刂
U+5217		列	⿰歹刂
U+521D		初	⿰衤刀
U+5224		判	⿰半刂
U+5225		別	⿰𠮠刂
U+5228		刨	⿰包刂
U+5229		利	⿰禾刂
U+522A		刪	⿰冊刂
U+522E		刮	⿰舌刂
U+5230		到	⿰至刂
U+5236		制	制
U+5237		刷	⿰𡰯刂
U+5238		券	⿱龹刀
U+523B		刻	⿰亥刂
U+5241		剁	⿰朵刂
U+5243		剃	⿰弟刂
U+5247		則	⿰貝刂
U+524A		削	⿰肖刂
U+524B		剋	⿺克刂
U+524C		剌	⿰束刂
U+524D		前	⿱䒑刖
U+524E		剎	⿰𣏂刂
U+5254		剔	⿰易刂
U+5256		剖	⿰咅刂
U+525B		剛	⿰岡刂
U+525C		剜	⿰宛刂
U+525D		剝	⿰彔刂
U+5269		剩	⿰乘刂
U+526A		剪	⿱前刀
U+526F		副	⿰畐刂
U+5272		割	⿰害刂
U+5274		剴	⿰豈刂
U+5275		創	⿰倉刂
U+5277		剷	⿰産刂
U+527D		剽	⿰票刂
U+527F		剿	⿰巢刂
U+5283		劃	⿰畫刂
U+5287		劇	⿰豦刂
U+5288		劈	⿱辟刀
U+5289		劉	劉
U+528D		劍	⿰僉刂
U+5291		劑	⿰齊刂
U+529B		力	力
U+529F		功	⿰工力
U+52A0		加	⿰力口
U+52A3		劣	⿱少力
U+52A9		助	⿰且力
U+52AA		努	⿱奴力
U+52AB		劫	⿰去力
U+52AC		劬	⿰句力
U+52BE		劾	⿰亥力
U+52C1		勁	⿰巠力
U+52C3		勃	⿰孛力
U+52C7		勇	⿱甬力
U+52C9		勉	⿺免力
U+52D2		勒	⿰革力
U+52D5		動	⿰重力
U+52D7		勗	⿱日助
U+52D8		勘	⿰甚力
U+52D9		務	⿰矛务
U+52DB		勛	⿰員力
U+52DD		勝	⿰月劵
U+52DE		勞	⿱𤇾力
U+52DF		募	⿱莫力
U+52E2		勢	⿱埶力
U+52E4		勤	⿰堇力
U+52E6		勦	⿰巢力
U+52F5		勵	⿰厲力
U+52F8		勸	⿰雚力
U+52FB		勻	⿹勹二
U+52FE		勾	⿹勹厶
U+52FF		勿	⿹勹⿱丿丿
U+5305		包	⿹勹巳
U+5306		匆	匆
U+5308		匈	⿹勹凶
U+530D		匍	⿹勹甫
U+530F		匏	⿰夸包
U+5310		匐	⿹勹畐
U+5315		匕	⿺乚丿
U+5316		化	⿰亻𠤎
U+5317		北	北
U+5319		匙	⿺是匕
U+531D		匝	⿷匚巾
U+5320		匠	⿷匚斤
U+5321		匡	⿷匚王
U+5323		匣	⿷匚甲
U+532A		匪	⿷匚非
U+532F		匯	⿷匚淮
U+5331		匱	⿷匚貴
U+5339		匹	⿷匚儿
U+533E		匾	⿷匚扁
U+533F		匿	⿷匚若
U+5340		區	⿷匚品
U+5341		十	十
U+5343		千	⿱丿十
U+5345		卅	卅
U+5347		升	⿱丿廾
U+5348		午	⿱𠂉十
U+5349		卉	⿱十廾
U+534A		半	半
U+5351		卑	⿱丿𤰞
U+5352		卒	⿱𠅃十
U+5353		卓	⿱⺊早
U+5354		協	⿰十劦
U+5357		南	⿱十⿵冂𢆉
U+535A		博	⿰十尃
U+535C		卜	卜
U+535E		卞	⿱丶下
U+5360		占	⿱⺊口
U+5361		卡	⿱上卜
U+5366		卦	⿰圭卜
U+536E		卮	⿸𠂋㔾
U+536F		卯	⿰𠂎卩
U+5370		印	印
U+5371		危	⿸厃㔾
U+5373		即	即
U+5375		卵	⿰𠂑卪
U+5377		卷	⿱龹㔾
U+5378		卸	⿰𦈢卩
U+5379		卹	⿰血卩
U+537B		卻	⿰谷卩
U+537F		卿	卿
U+5384		厄	⿸厂㔾
U+539A		厚	⿸厂㫗
U+539D		厝	⿸厂昔
U+539F		原	⿸厂⿱白小
U+53A5		厥	⿸厂欮
U+53AD		厭	⿸厂猒
U+53B2		厲	⿸厂萬
U+53BB		去	⿱土厶
U+53C3		參	⿱𠫯彡
U+53C8		又	又
U+53C9		叉	⿴又丶
U+53CA		及	及
U+53CB		友	⿸𠂇又
U+53CD		反	⿸𠂆又
U+53D4		叔	⿰尗又
U+53D6		取	⿰耳又
U+53D7		受	⿱⿱爫冖又
U+53DB		叛	⿰半反
U+53DF		叟	⿱𦥔又
U+53E2		叢	⿱丵取
U+53E3		口	口
U+53E4		古	⿱十口
U+53E5		句	⿹勹口
U+53E6		另	⿱口力
U+53E8		叨	⿰口刀
U+53E9		叩	⿰口卩
U+53EA		只	⿱口八
U+53EB		叫	⿰口丩
U+53EC		召	⿱刀口
U+53ED		叭	⿰口八
U+53EE		叮	⿰口丁
U+53EF		可	⿹丁口
U+53F0		台	⿱厶口
U+53F1		叱	⿰口𠤎
U+53F2		史	史
U+53F3		右	⿸𠂇口
U+53F5		叵	⿷匚口
U+53F8		司	⿹𠃌𠮛
U+53FC		叼	⿰口刁
U+5401		吁	⿰口于
U+5403		吃	⿰口乞
U+5404		各	⿱夂口
U+5406		吆	⿰口幺
U+5408		合	⿱亼口
U+5409		吉	⿱士口
U+540A		吊	⿱口巾
U+540B		吋	⿰口寸
U+540C		同	⿵𠔼口
U+540D		名	⿱夕口
U+540E		后	⿸𠂋口
U+540F		吏	吏
U+5410		吐	⿰口土
U+5411		向	⿵⿱丿冂口
U+5412		吒	⿰口乇
U+541B		君	⿸尹口
U+541D		吝	⿱文口
U+541E		吞	⿱天口
U+541F		吟	⿰口今
U+5420		吠	⿰口犬
U+5426		否	⿱不口
U+5427		吧	⿰口巴
U+5429		吩	⿰口分
U+542B		含	⿱今口
U+542D		吭	⿰口亢
U+542E		吮	⿰口允
U+5431		吱	⿰口支
U+5433		吳	⿺⿱𠃑大口
U+5435		吵	⿰口少
U+5436		吶	⿰口內
U+5438		吸	⿰口及
U+5439		吹	⿰口欠
U+543B		吻	⿰口勿
U+543C		吼	⿰口孔
U+543E		吾	⿱五口
U+5440		呀	⿰口牙
U+5442		呂	⿳口丿口
U+5443		呃	⿰口厄
U+5446		呆	⿱口木
U+5448		呈	⿱口王
U+544A		告	⿱𠂒口
U+544E		呎	⿰口尺
U+5462		呢	⿰口尼
U+5468		周	⿵⺆𠮷
U+5471		呱	⿰口瓜
U+5473		味	⿰口未
U+5475		呵	⿰口可
U+5476		呶	⿰口奴
U+5477		呷	⿰口甲
U+5478		呸	⿰口丕
U+547B		呻	⿰口申
U+547C		呼	⿰口乎
U+547D		命	⿱亼叩
U+5480		咀	⿰口且
U+5484		咄	⿰口出
U+5486		咆	⿰口包
U+548B		咋	⿰口乍
U+548C		和	⿰禾口
U+548E		咎	⿱处口
U+5490		咐	⿰口付
U+5492		咒	⿱吅几
U+5495		咕	⿰口古
U+5496		咖	⿰口加
U+549A		咚	⿰口冬
U+54A6		咦	⿰口夷
U+54A8		咨	⿱次口
U+54AA		咪	⿰口米
U+54AB		咫	⿺尺只
U+54AC		咬	⿰口交
U+54AF		咯	⿰口各
U+54B1		咱	⿰口自
U+54B3		咳	⿰口亥
U+54B8		咸	⿵戌口
U+54BB		咻	⿰口休
U+54BD		咽	⿰口因
U+54C0		哀	⿳亠口𧘇
U+54C1		品	⿱口吅
U+54C2		哂	⿰口西
U+54C4		哄	⿰口共
U+54C7		哇	⿰口圭
U+54C8		哈	⿰口合
U+54C9		哉	⿹𢦏口
U+54CE		哎	⿰口艾
U+54E1		員	⿱口貝
U+54E5		哥	⿱可可
U+54E6		哦	⿰口我
U+54E8		哨	⿰口肖
U+54E9		哩	⿰口里
U+54EA		哪	⿰口那
U+54ED		哭	⿱吅犬
U+54EE		哮	⿰口孝
U+54F2		哲	⿱折口
U+54FA		哺	⿰口甫
U+54FC		哼	⿰口亨
U+5501		唁	⿰口言
U+5506		唆	⿰口夋
U+5509		唉	⿰口矣
U+5510		唐	⿸广⿱肀口
U+5514		唔	⿰口吾
U+5527		唧	⿰口即
U+552C		唬	⿰口虎
U+552E		售	⿱隹口
U+552F		唯	⿰口隹
U+5531		唱	⿰口昌
U+5533		唳	⿰口戾
U+5537		唷	⿰口育
U+5538		唸	⿰口念
U+553E		唾	⿰口垂
U+5543		啃	⿰口肯
U+5544		啄	⿰口豖
U+5546		商	⿱⿱亠丷冏
U+554A		啊	⿰口阿
U+554F		問	⿵門口
U+5555		啕	⿰口匋
U+5556		啖	⿰口炎
U+555C		啜	⿰口叕
U+555E		啞	⿰口亞
U+555F		啟	⿰启攵
U+5561		啡	⿰口非
U+5563		啣	⿰口卸
U+5564		啤	⿰口卑
U+5566		啦	⿰口拉
U+556A		啪	⿰口拍
U+557B		啻	⿱帝口
U+557C		啼	⿰口帝
U+557E		啾	⿰口秋
U+5580		喀	⿰口客
U+5582		喂	⿰口畏
U+5583		喃	⿰口南
U+5584		善	⿱⿱羊䒑口
U+5587		喇	⿰口剌
U+5589		喉	⿰口侯
U+558A		喊	⿰口咸
U+558B		喋	⿰口枼
U+5594		喔	⿰口屋
U+5598		喘	⿰口耑
U+559A		喚	⿰口奐
U+559C		喜	⿱壴口
U+559D		喝	⿰口曷
U+559F		喟	⿰口胃
U+55A7		喧	⿰口宣
U+55AA		喪	喪
U+55AC		喬	⿱呑冋
U+55AE		單	單
U+55B1		喱	⿰口厘
U+55B2		喲	⿰口約
U+55B3		喳	⿰口查
U+55BB		喻	⿰口俞
U+55C5		嗅	⿰口臭
U+55C6		嗆	⿰口倉
U+55C7		嗇	嗇
U+55CE		嗎	⿰口馬
U+55D1		嗑	⿰口盍
U+55D3		嗓	⿰口桑
U+55DA		嗚	⿰口烏
U+55DC		嗜	⿰口耆
U+55DF		嗟	⿰口差
U+55E1		嗡	⿰口翁
U+55E3		嗣	⿰⿱口𠕁司
U+55E4		嗤	⿰口蚩
U+55E5		嗥	⿰口皋
U+55E6		嗦	⿰口索
U+55E8		嗨	⿰口海
U+55EF		嗯	⿰口恩
U+55F7		嗷	⿰口敖
U+55FD		嗽	⿰口欶
U+55FE		嗾	⿰口族
U+5600		嘀	⿰口啇
U+5606		嘆	⿰口𦰩
U+5608		嘈	⿰口曹
U+5609		嘉	⿱壴加
U+560D		嘍	⿰口婁
U+560E		嘎	⿰口戛
U+5614		嘔	⿰口區
U+5616		嘖	⿰口責
U+5617		嘗	⿱𫩠旨
U+561B		嘛	⿰口麻
U+561F		嘟	⿰口都
U+5629		嘩	⿰口華
U+562E		嘮	⿰口勞
U+562F		嘯	⿰口肅
U+5630		嘰	⿰口幾
U+5632		嘲	⿰口朝
U+5634		嘴	⿰口觜
U+5636		嘶	⿰口斯
U+5639		嘹	⿰口尞
U+563B		嘻	⿰口喜
U+563F		嘿	⿰口黑
U+564E		噎	⿰口壹
U+5653		噓	⿰口虛
U+5657		噗	⿰口菐
U+5659		噙	⿰口禽
U+5662		噢	⿰口奥
U+5664		噤	⿰口禁
U+5665		噥	⿰口農
U+5668		器	⿳吅犬吅
U+5669		噩	噩
U+566A		噪	⿰口喿
U+566B		噫	⿰口意
U+566C		噬	⿰口筮
U+566F		噯	⿰口愛
U+5671		噱	⿰口豦
U+5674		噴	⿰口賁
U+5678		噸	⿰口頓
U+5679		噹	⿰口當
U+5680		嚀	⿰口寧
U+5685		嚅	⿰口需
U+5687		嚇	⿰口赫
U+568E		嚎	⿰口豪
U+568F		嚏	⿰口疐
U+5690		嚐	⿰口嘗
U+5695		嚕	⿰口魯
U+56A5		嚥	⿰口燕
U+56A8		嚨	⿰口龍
U+56AE		嚮	⿱鄉向
U+56B4		嚴	⿱吅𠪚
U+56B6		嚶	⿰口嬰
U+56B7		嚷	⿰口襄
U+56BC		嚼	⿰口爵
U+56C0		囀	⿰口轉
U+56C1		囁	⿰口聶
U+56C2		囂	⿳吅頁吅
U+56C8		囈	⿰口藝
U+56C9		囉	⿰口羅
U+56CA		囊	囊
U+56CC		囌	⿰口蘇
U+56D1		囑	⿰口屬
U+56DA		囚	⿴囗人
U+56DB		四	⿴囗儿
U+56DE		回	⿴囗口
U+56E0		因	⿴囗大
U+56E4		囤	⿴囗屯
U+56EA		囪	囪
U+56F0		困	⿴囗木
U+56FA		固	⿴囗古
U+5703		圃	⿴囗甫
U+5708		圈	⿴囗卷
U+570B		國	⿴囗或
U+570D		圍	⿴囗韋
U+5712		園	⿴囗袁
U+5713		圓	⿴囗員
U+5716		圖	⿴囗啚
U+5718		團	⿴囗專
U+571F		土	⿱十一
U+5728		在	在
U+572C		圬	⿰土亏
U+572D		圭	⿱土土
U+572F		圯	⿰土巳
U+5730		地	⿰土也
U+5733		圳	⿰土川
U+573E		圾	⿰土及
U+5740		址	⿰土止
U+5747		均	⿰土匀
U+574A		坊	⿰土方
U+574D		坍	⿰土丹
U+574E		坎	⿰土欠
U+574F		坏	⿰土不
U+5750		坐	⿱𠦏一
U+5751		坑	⿰土亢
U+5761		坡	⿰土皮
U+5764		坤	⿰土申
U+5766		坦	⿰土旦
U+5769		坩	⿰土甘
U+576A		坪	⿰土平
U+5777		坷	⿰土可
U+577C		坼	⿰土斥
U+5782		垂	垂
U+5783		垃	⿰土立
U+578B		型	⿱刑土
U+57A0		垠	⿰土艮
U+57A2		垢	⿰土后
U+57A3		垣	⿰土亘
U+57AE		垮	⿰土夸
U+57C2		埂	⿰土更
U+57C3		埃	⿰土矣
U+57CB		埋	⿰土里
U+57CE		城	⿰土成
U+57D4		埔	⿰土甫
U+57DF		域	⿰土或
U+57E0		埠	⿰土阜
U+57E4		埤	⿰土卑
U+57F7		執	⿰幸丸
U+57F9		培	⿰土咅
U+57FA		基	⿱其土
U+5802		堂	⿱𫩠土
U+5805		堅	⿱臤土
U+5806		堆	⿰土隹
U+580A		堊	⿱亞土
U+5821		堡	⿱保土
U+5824		堤	⿰土是
U+582A		堪	⿰土甚
U+582F		堯	⿱垚兀
U+5830		堰	⿰土匽
U+5831		報	⿰幸𠬝
U+5834		場	⿰土昜
U+5835		堵	⿰土者
U+584A		塊	⿰土鬼
U+584C		塌	⿰土𦐇
U+5851		塑	⿱朔土
U+5854		塔	⿰土荅
U+5857		塗	⿱涂土
U+5858		塘	⿰土唐
U+585A		塚	⿰土冢
U+585E		塞	⿱𡨄土
U+5862		塢	⿰土烏
U+586B		填	⿰土真
U+586D		塭	⿰土昷
U+5875		塵	⿸鹿土
U+5879		塹	⿱斬土
U+587E		塾	⿱孰土
U+5880		墀	⿰土犀
U+5883		境	⿰土竟
U+5885		墅	⿱野土
U+588A		墊	⿱執土
U+5893		墓	⿱莫土
U+589C		墜	⿱隊土
U+589E		增	⿰土曾
U+589F		墟	⿰土虚
U+58A8		墨	⿱黑土
U+58AE		墮	⿱隋土
U+58B3		墳	⿰土賁
U+58BE		墾	⿱貇土
U+58C1		壁	⿱辟土
U+58C5		壅	⿱雍土
U+58C7		壇	⿰土亶
U+58D1		壑	⿱㕡土
U+58D3		壓	⿱厭土
U+58D5		壕	⿰土豪
U+58D8		壘	⿱畾土
U+58D9		壙	⿰土廣
U+58DE		壞	⿰土褱
U+58DF		壟	⿱龍土
U+58E2		壢	⿰土歷
U+58E4		壤	⿰土襄
U+58E9		壩	⿰土霸
U+58EB		士	⿱十一
U+58EC		壬	⿱丿士
U+58EF		壯	⿰爿士
U+58F9		壹	⿳士冖豆
U+58FA		壺	壺
U+58FD		壽	⿳⿳士乛工一吋
U+590F		夏	⿱𦣻夂
U+5914		夔	⿱丷夒
U+5915		夕	⿴𠂊丶
U+5916		外	⿰夕卜
U+5919		夙	⿵几歹
U+591A		多	⿱夕夕
U+591C		夜	⿱亠⿰亻⿴夂丶
U+5920		夠	⿰多句
U+5922		夢	⿳𦭝冖夕
U+5924		夤	⿱夕寅
U+5925		夥	⿰果多
U+5927		大	大
U+5929		天	⿱一大
U+592A		太	⿵大丶
U+592B		夫	夫
U+592D		夭	⿱丿大
U+592E		央	央
U+5931		失	⿰丿夫
U+5937		夷	夷
U+5938		夸	⿱大亏
U+593E		夾	夾
U+5944		奄	⿱大电
U+5947		奇	⿱大可
U+5948		奈	⿱大示
U+5949		奉	奉
U+594E		奎	⿱大圭
U+594F		奏	⿱𡗗天
U+5950		奐	⿳𠂊⿵冂八大
U+5951		契	⿱㓞大
U+5954		奔	⿱大卉
U+5955		奕	⿱亦大
U+5957		套	⿱大镸
U+5958		奘	⿱壯大
U+595A		奚	⿱爫𡗞
U+5960		奠	⿱酋大
U+5962		奢	⿱大者
U+5967		奧	⿱⿵⿱丿冂釆大
U+5969		奩	⿱大區
U+596A		奪	⿱奞寸
U+596E		奮	⿱奞田
U+5973		女	女
U+5974		奴	⿰女又
U+5976		奶	⿰女乃
U+5978		奸	⿰女干
U+5979		她	⿰女也
U+597D		好	⿰女子
U+5981		妁	⿰女勺
U+5982		如	⿰女口
U+5983		妃	⿰女己
U+5984		妄	⿱亡女
U+598A		妊	⿰女壬
U+598D		妍	⿰女开
U+5992		妒	⿰女户
U+5993		妓	⿰女支
U+5996		妖	⿰女夭
U+5999		妙	⿰女少
U+599D		妝	⿰爿女
U+599E		妞	⿰女丑
U+59A3		妣	⿰女比
U+59A4		妤	⿰女予
U+59A5		妥	⿱爫女
U+59A8		妨	⿰女方
U+59AE		妮	⿰女尼
U+59AF		妯	⿰女由
U+59B3		妳	⿰女尔
U+59B9		妹	⿰女未
U+59BB		妻	妻
