id,char
厚,擘
沽,沽
嗡,嗡
蹙,蹙
夫,夫
猩,惺
潭,潭
左,左
娃,娃
估,估
騷,騷
謠,謠
泗,泗
走,走
萱,萱
反,夙
去,去
枸,枸
咆,抱
聳,隻
墀,墀
誣,誣
噗,噤
悼,悍
謙,謙
聆,聆
併,仔
先,先
婆,婆
仇,仇
屏,屏
涸,涸
瓢,瓢
籬,籲
子,子
項,涉
肅,肅
娑,娑
凌,凌
闢,悶
氯,軋
程,拴
踫,踫
絢,絢
憊,憊
銬,銬
繪,縫
寮,寮
苣,巷
弈,弈
渙,渙
酥,酥
牛,午
慮,慮
犧,犧
鴛,鴛
深,深
黜,黜
挾,挾
謨,謙
寐,寐
技,技
妾,妾
電,電
樅,彼
涕,涕
暹,暹
皰,他
棋,棋
豫,豫
呈,呈
借,借
襟,祺
菌,苜
檸,檸
漿,奧
筏,筏
疋,疋
挨,挨
酵,酵
鍬,鍬
泱,泱
修,修
瀕,瀕
悴,悴
踢,踢
霄,霄
曰,曰
形,形
算,算
髻,塾
嬉,嬉
察,察
燦,燎
啜,啜
勸,勸
歹,歹
催,催
倥,倥
悌,恍
筍,鳥
鱖,鱖
賈,案
練,練
捱,倭
敢,荻
色,色
汪,汪
稈,稈
妊,佐
量,霎
腳,腳
抱,抱
鷥,鷥
烊,烊
鋪,鉻
馳,馳
臀,臀
炮,炮
紼,紼
懊,懊
冀,冀
些,竺
香,香
鑄,鑄
蕾,荸
鰾,鰾
槓,槓
覬,覬
畜,畜
睛,晴
訊,訝
彤,彤
何,何
躪,躪
賠,賠
內,內
婚,塘
漸,浙
突,突
廠,商
捱,捱
蒸,蒸
鹼,鹼
鏤,錶
隍,隍
硯,硯
諷,諷
曼,曼
刊,刊
擴,擴
鯊,娑
戰,戰
孔,孔
憊,憊
畚,畚
了,了
諉,諉
挖,搾
慨,慨
塭,塭
撮,撮
夥,夥
撥,撥
平,平
險,險
癸,癸
甲,甲
操,操
蔔,葡
悵,悵
鵬,鵬
懺,懺
翎,翎
閣,閡
瀏,瀏
川,川
翟,翌
綺,綺
蚓,蚓
埃,埃
窖,窒
粗,粗
虔,虔
旨,旨
狷,狷
詬,詬
獸,獸
褪,極
餽,銘
幟,憎
轡,轡
坩,坩
賽,賽
蛋,蛋
蛟,狡
堵,堵
挨,伐
謗,謗
撇,撇
衫,衫
察,察
短,短
輻,輻
淅,淅
孫,孫
骨,骨
亂,亂
霓,霓
栽,我
膀,臆
竭,竭
殮,渝
族,族
瞠,瞠
銀,錠
砭,砭
閥,閩
蛛,蛛
棣,棣
築,篾
聽,聽
石,石
深,深
乒,乒
虞,虔
籐,籐
癆,癆
鈾,鈾
烏,鳥
魘,魘
篾,篾
矚,矚
俠,俠
熨,熨
賽,賞
欖,攬
煥,煩
癲,癲
暢,棕
迷,迷
席,席
汰,汰
纓,纓
藥,藥
宿,宿
妹,妹
應,應
祇,祇
臂,臂
蠱,蠱
髯,髯
疑,疑
多,多
悚,憎
培,培
傖,傖
壽,壽
藪,藪
罈,罈
仍,仍
下,下
黑,黑
過,週
瑯,瑯
錚,句
雍,雍
悲,悲
紛,紛
憩,憩
渚,渚
俎,俎
豉,豉
哄,哄
悚,悚
導,導
踟,斑
笙,窒
簧,簧
繭,繭
蘊,葩
炳,助
眼,眼
韃,韃
褶,褶
剖,剖
婉,婉
澈,澈
決,洪
隕,陸
嬸,嬸
周,周
恣,恣
歧,歧
軌,軌
姿,姿
外,外
渣,渣
調,調
乓,乓
卦,卦
娣,銻
辨,辨
粟,粟
罪,罪
吞,吞
奢,奢
鴿,鵠
車,草
播,播
鵠,鵠
蘿,蘿
融,釉
賀,習
攬,攬
耒,奈
存,存
佃,佃
藝,藝
顱,顱
設,殼
杰,杰
鑑,鑑
獷,揚
團,團
齬,齬
潔,潔
宮,宮
項,孤
翔,翔
徑,徑
曲,由
諷,諷
牴,牴
鬥,鬥
睜,睜
歌,歌
鼬,鼬
鼓,鼓
慧,鵠
薩,蔭
彭,彭
嫖,嫖
孱,孱
韓,韓
皖,皖
擰,擰
湃,湃
猜,精
阱,阱
藤,藤
眷,眷
蜻,蜻
害,害
董,董
變,變
徙,徒
躲,躲
爹,爹
隋,隋
弛,弛
戢,戢
昀,昀
黍,黍
汝,汝
免,兔
瞿,鞏
簑,簑
慇,殷
瞳,眩
駝,舵
識,識
綾,綾
拽,神
洛,洛
處,處
渥,渥
遞,遞
揆,揆
齒,齒
崑,崔
句,句
著,著
卿,卿
柵,柵
信,侖
到,到
賂,賠
種,磋
姬,姬
寅,寅
掬,掬
且,且
宏,宏
岐,岐
蘸,蘸
繫,繫
仍,仍
娠,振
齊,齋
頗,頗
爰,爰
真,真
誇,落
麴,麴
摸,摸
堪,益
那,那
耐,耐
東,束
歧,岐
秧,秧
岩,岩
柔,柔
虔,虔
詼,詼
噩,娶
蒂,蒂
墮,鹽
璣,洪
向,向
抖,抖
惠,惑
訕,訕
橄,撒
雨,邢
壽,壽
袂,袂
夢,夢
剪,剪
誇,誇
韻,哉
癩,癘
尼,居
颺,颺
蹲,矮
困,困
啞,啞
鱗,鱗
姍,姍
疊,疊
芻,芻
降,降
肉,肉
選,選
弦,弦
何,何
冰,冰
現,現
障,障
鬍,髭
掀,孜
矜,玲
臥,敢
雯,雯
梃,被
援,援
佇,佇
賈,賈
鏟,鏟
逼,逼
稜,設
塊,塊
丈,丈
餃,餃
許,訝
伯,伯
輿,輿
靖,靖
貯,貯
蹶,蹶
躲,躲
氓,氓
決,決
絞,絞
侖,侖
澗,澗
檸,梗
霪,霪
晉,晉
簧,簑
株,株
雀,雀
救,拔
匿,匿
蔔,蔔
笨,柴
穆,穆
瘧,瘧
趁,趁
圯,圯
順,順
佣,佩
枯,枯
博,博
慄,慄
撿,撿
齒,齒
迆,迆
焚,焚
緇,緇
莉,莉
廚,廚
孰,敦
欄,欄
鑒,鑾
滂,滂
彿,彿
鵑,鵑
週,週
淆,淆
羞,益
勞,榮
罷,罷
舛,舛
矛,矛
瀕,瀕
顫,顫
憧,桅
堂,堂
到,到
場,場
爬,爬
女,女
吳,吳
闖,闊
鋒,鋒
薛,薛
鐲,鐲
偺,偺
迷,迷
叵,叵
佻,佻
夔,夔
粽,粽
廠,廠
瀕,瀕
災,災
秒,秒
接,接
麩,麩
湊,湊
繡,鏽
緇,緇
亮,亮
編,煽
踵,踵
哎,哎
貞,貞
餒,飴
沫,沫
壹,壹
嶼,嶼
魅,憾
疹,瘀
虱,虱
瞧,瞧
羨,羨
軸,軸
鏑,鍋
健,健
蔓,蔓
跎,跎
婷,婷
膨,膨
洶,洶
牖,煽
髮,髮
遁,遁
征,征
械,械
苧,苧
亨,亨
蟆,蟆
歌,歌
毗,毗
拄,拴
螢,螢
藉,藉
解,解
悲,悲
睫,睫
裙,裙
逼,逼
濠,濠
撬,撬
嗽,嗽
詭,詭
賄,賄
蹲,蹲
鈸,鈴
祐,祐
打,打
縷,縷
梅,梅
皆,皆
膝,膝
惱,惱
七,七
緬,緬
趾,趾
俾,俾
鯧,娼
痣,痣
逞,逞
翕,翕
氛,氛
哉,哉
斫,斫
余,奈
梔,梔
製,製
誌,誌
恐,恐
欲,欲
擒,擒
頸,頸
膚,膚
氣,氣
曦,嚼
巨,巨
精,稍
艾,艾
插,插
稜,稜
茅,芋
荀,荀
消,消
宋,宗
廷,廷
嬋,嬋
賁,苜
菁,普
駭,駭
算,箕
辦,辦
麗,產
傀,傀
庶,庇
磁,磁
疳,疳
杉,杉
栓,拴
婪,婪
淋,淋
鶉,鶉
皰,皰
拷,拷
袒,裡
瀰,瀰
琥,琥
厲,厲
誑,誑
韋,韋
嚷,喱
牧,牧
罟,罟
妾,蚩
蚤,益
牛,牛
鳴,嗚
靨,靨
駙,駢
醒,醒
蹊,蹊
宅,定
汨,汨
戟,戟
腱,腱
涉,涉
譴,譴
捲,捲
八,水
骷,骷
湮,湮
讒,讒
或,或
丙,丙
墊,墊
哥,哥
晏,晏
紋,紋
沱,沱
普,蕃
響,響
積,稍
援,援
囂,囂
汐,汐
呈,翌
池,池
軀,軀
庫,庫
韁,韁
遜,遜
佑,佑
淙,淙
崔,崔
蹼,蹼
霏,霏
螳,螳
痣,痘
芒,芒
催,倦
潛,潛
皓,皓
館,館
產,產
但,拒
商,隊
箔,箔
恕,短
篆,篆
荼,荼
庠,序
遞,猿
驗,驗
斤,斤
射,肘
剿,剿
扒,扒
銀,銀
糧,糧
嬤,攬
訌,訌
苣,苣
采,爰
數,竅
譴,譴
織,絨
櫻,楹
菰,菰
跛,跛
紂,紂
仁,仁
彙,彙
鑼,囉
鎳,錦
快,恍
誅,謀
紹,紹
耽,號
違,違
蜃,蜃
間,間
褐,褐
態,態
鋸,鋸
曷,曷
駟,駟
鼙,驀
拔,跋
剋,剋
帳,帳
草,草
鏝,鏝
俎,俎
靦,靦
武,計
某,某
念,念
閂,閂
丐,丐
黏,黏
丈,丈
魄,魄
巷,巷
蹺,蹺
蝨,蝨
徹,傲
荊,荊
卑,卑
薯,薑
鐸,繹
徽,徵
郵,郵
抉,抉
譏,瞧
膿,朦
要,吾
匐,匐
售,售
莘,莘
滴,滴
旨,旨
憊,憊
慚,慚
娘,姣
么,么
榻,栩
覓,蕙
渥,渥
縛,紳
檔,楷
貽,貽
鵬,鵬
蘆,蘆
喳,咕
躡,躡
詭,訖
慷,慷
屏,屏
趣,趣
紉,紉
墨,墨
郊,郊
酪,酪
扶,扶
拜,痔
沖,沖
郡,郡
賭,賠
竹,竹
榻,榻
氣,氣
髏,髏
療,疵
誦,詬
欖,欖
梅,祿
岡,岡
痰,痿
簫,簫
娶,娶
蚩,蚩
靼,靼
峰,峰
闈,闈
錯,錯
爺,爺
倆,倆
謬,謬
捕,捕
蚶,坩
開,開
伊,伊
夕,夕
誨,誨
滬,滬
巴,巴
傘,傘
浪,浪
余,余
軾,軾
縈,縈
鳴,鳴
袈,袈
嬤,嬤
炕,炕
窺,窺
冰,冰
奎,奎
洌,吋
彌,彌
懲,懲
斜,斜
公,公
冑,胄
虜,虜
奢,奢
果,果
勉,勉
匱,匱
倡,倡
椅,綺
烈,烈
善,善
地,姑
鄧,鄧
泳,泳
齡,齡
拆,拆
鉀,鉀
膝,膝
揩,拙
瘉,瀉
靨,靨
攏,攏
堅,豎
省,省
諭,旖
梨,梨
麾,麾
螂,螂
杰,杰
瀕,瀕
遽,遽
兗,兗
姨,螟
逢,逢
霽,霽
花,花
囚,囚
蔥,蔥
乃,乃
荒,荒
顰,顰
蓉,蓉
君,君
鳶,鳶
夢,夢
澈,澈
託,氏
莠,莠
曼,曼
角,房
稼,稼
躉,蔥
噓,噓
釘,釘
贗,贗
杳,杏
繪,繪
窠,渠
戡,戡
划,划
差,差
晤,晤
雕,雕
是,是
巫,巫
汰,汰
豆,豆
見,見
災,災
禱,禧
托,托
鮮,鮮
戢,戢
評,評
愛,愛
覦,覦
隋,隋
人,人
桔,拮
襲,襲
痢,痢
摒,折
寡,寡
庇,尼
型,坐
獨,獨
詹,詹
朮,朮
逍,逍
惻,側
鬍,敷
變,變
玀,玀
扛,扛
鷺,騖
寒,要
躂,兄
苦,苦
淄,淄
蠻,蠻
赫,赫
渚,渚
幹,幹
斥,斥
艱,艱
意,景
轎,轔
順,煩
軛,軛
羌,羌
革,革
胎,胎
嘆,咦
謂,謂
氤,氤
僱,僱
硫,硫
李,季
捶,捶
髒,髒
兕,兕
溥,溥
芟,芟
盤,盤
茵,苜
刁,刁
彰,彰
擄,擄
蟻,捶
陌,陌
憔,憔
般,般
閒,間
寓,常
褚,褚
澹,澄
哈,哈
銓,銓
描,描
僻,僻
咦,咦
勃,勃
殉,殉
回,田
唬,唬
般,般
訃,訃
繭,繭
諷,諷
劣,劣
甄,甄
嫘,嫘
鵝,鎢
椎,椎
採,流
濘,漫
椰,椰
訊,訊
饅,嫌
鉋,鉋
概,櫚
詛,詛
遑,暹
裘,裘
詠,誌
瞻,贍
腺,腺
績,績
鋪,鋪
拂,拂
剴,剴
皴,幾
嬸,嬸
通,通
靶,靶
蓄,蒸
薔,蕃
緣,綠
輛,輛
埃,埃
貉,貉
聘,咒
枸,枸
訛,託
豹,豹
伸,伸
芒,芒
剖,剖
鏑,銷
氯,氮
釉,釉
琺,琺
雀,雀
吭,吭
焉,焉
臂,臀
碼,碼
藤,藤
騖,騖
部,部
開,開
跟,跟
飼,飼
緝,緝
傍,傍
騁,騁
光,光
傾,傾
茂,茂
裙,裙
臧,臧
掘,掘
考,考
掘,掘
戲,敲
貼,貽
餵,餵
氟,敘
內,內
九,九
蚓,蚓
腔,附
琉,球
茫,茫
枸,枸
錶,錶
緝,洱
封,封
綺,綺
治,治
門,門
遠,遠
粳,粳
崆,崆
矽,砧
麂,麂
樹,樹
贅,贅
藏,藏
柚,柚
無,無
康,康
蘭,蘭
詫,詫
贗,贗
鋁,鋁
同,周
磨,磨
卸,卸
訐,訐
勵,勵
噙,噙
項,項
燦,燦
杰,杰
晃,晃
央,央
傍,傍
釘,釘
破,礎
詼,詼
娜,娜
纏,纏
裨,碑
誑,誑
臘,腰
兆,兆
鋤,鋤
諱,譁
后,后
枕,枕
其,其
菱,菱
媾,媾
苔,苔
瞞,瞞
楷,楷
蛻,垢
糊,蝴
僵,瀑
迭,迭
齣,齣
慨,慨
莠,莠
颳,颳
祐,祐
拌,祥
噥,噥
莉,荊
急,急
徵,徵
狽,狽
殺,設
長,長
咸,威
客,客
募,募
毋,臾
淌,淌
委,委
聊,聊
酬,酬
妤,抒
熱,熬
碉,靦
蜈,拌
沾,沾
疾,疥
恆,迴
揭,揭
她,她
榔,榔
妻,姿
婚,始
祚,祚
員,昌
俞,俞
運,墅
肉,肉
需,需
互,互
鶴,鶴
厝,筒
暫,暫
警,警
箋,箋
菱,蔓
刎,刎
明,明
釣,釣
任,佐
鏟,鏟
箝,箝
展,尿
烽,烊
被,被
耒,耒
甄,甄
迄,迢
館,館
阪,阪
謬,謬
滑,滑
芟,芟
旱,旱
櫥,櫥
蹣,蹣
霸,霸
闊,悶
噙,噙
圈,圈
廉,廉
嗦,嗦
顎,顎
惘,惘
解,解
繁,繁
偌,娃
里,里
令,令
慈,慈
唉,唉
尸,尸
搬,根
駑,髯
長,長
瞪,瞪
鼬,鼬
拮,拮
蟒,蟒
樂,樂
橇,橇
鞠,鞠
寇,定
鋤,洶
這,這
尹,尹
宥,容
溪,溪
唬,唬
詳,詳
柱,粒
顏,顏
簾,簾
第,第
戀,巒
噥,噥
瑙,煽
束,宋
幣,常
催,催
潼,潼
嘰,嘰
九,几
臺,臺
吊,吊
歲,歲
過,週
那,那
潺,潺
洲,洲
胴,胴
羸,羸
貂,貂
網,網
床,床
色,逢
爍,腰
扼,厄
拌,拌
醉,醉
演,演
砝,砝
已,已
姘,姘
辭,辭
鴨,鳴
莒,莒
優,優
麝,麝
睬,睬
涯,玨
頤,甌
洪,洪
額,額
擔,擔
鐘,鐘
趙,趙
洞,洶
旖,旖
洛,洛
在,在
允,示
斬,斬
卒,卒
時,時
羽,羽
享,享
幢,懂
荷,荷
澧,澧
拆,拆
哥,哥
友,友
寶,寶
翡,潸
俏,木
屯,屯
燎,燎
幻,幻
賅,賅
翌,翌
裔,裔
汨,汨
釗,釗
翡,弈
匆,匆
祺,祺
戕,找
抨,抨
航,航
沈,沈
廊,屎
縑,縑
空,空
炒,紗
使,伸
痺,瘡
佯,倖
混,混
沁,沁
長,長
虹,虹
僅,腫
脂,脂
妁,妁
邁,邁
餅,餅
殆,殆
偏,偏
叩,叩
狹,狹
絡,鉻
槳,槳
曠,曠
壙,壙
庵,庵
歟,歟
殮,殮
齜,齜
版,版
兇,兇
譚,譚
攬,攬
嫘,嫘
踝,踝
奉,奉
仃,仃
自,自
嵐,嵐
父,公
饑,鍛
鍾,鍾
橇,橇
蹊,蹊
瘓,瘓
蕊,蕊
量,景
倦,倦
罷,罷
翠,翠
眷,眷
鼙,鼙
嘛,吸
萊,莢
曆,曆
罐,罐
淞,淞
狀,狀
鬨,闋
笨,笨
夤,夤
崩,崩
瞄,瞄
撥,投
另,另
恭,添
鷗,鷗
轎,轎
睪,睪
閘,開
訥,訥
夭,夭
荔,荔
驚,騖
土,土
謂,暗
條,條
搶,女
眠,眠
嚕,嚕
唱,唱
隙,隱
滋,滋
孝,孝
濃,濃
靜,靜
體,體
仇,仇
力,力
奠,奠
愈,愈
扒,扒
摧,坡
築,築
跆,蹈
陣,陣
荔,荔
鼴,鼴
上,上
誼,拉
瞳,瞳
少,少
湊,湊
協,協
削,削
嫡,級
仇,仇
券,芬
氣,景
瑁,瑁
蚱,蚱
賠,賠
瞄,瞄
簡,簡
纓,纓
妥,出
禦,禦
糾,糾
獨,獨
殼,殼
炎,炎
枝,技
楨,楨
俟,俟
蕩,蔣
徐,綜
躇,躇
啾,啾
瑪,瑪
尚,尚
沅,沅
豆,豆
諍,諍
崢,崢
旺,旺
跳,跳
顱,顱
柏,柏
炮,炮
陝,夾
連,連
卑,卑
唁,唁
帥,帥
聊,聊
辮,辮
彩,彩
份,份
役,役
灌,灌
案,案
爍,爍
砌,砌
歪,歪
傾,傾
距,距
程,程
昭,昭
妓,妓
緒,純
惚,炮
炫,炫
原,原
味,咪
貓,貓
料,料
絲,終
餒,餒
覽,覽
除,除
熨,熨
勒,勒
浴,浴
敬,效
番,番
集,集
彭,彭
耆,耆
為,為
核,核
瞟,瞟
搬,搬
媲,徨
燙,燙
膏,膏
凍,凍
嫦,嬋
簍,簍
檳,憬
兜,兜
齦,齦
商,商
乒,乒
戀,戀
煮,煮
瞳,眩
誠,誠
缸,缸
硝,硝
嘍,嘍
籃,鍰
蕊,蕊
嘴,嘴
綵,綵
將,將
跛,跛
壓,壓
具,見
薰,薰
貂,貂
妒,作
榫,榫
闡,闡
獲,稜
惜,惦
哈,受
猴,猴
號,號
芽,芽
行,行
戶,戶
發,發
匍,匍
雞,雞
覽,覽
矚,矚
草,草
咎,咎
削,削
閣,閩
棺,椅
慧,慧
朦,矇
照,無
鎮,鎮
醋,酷
底,底
回,回
嫩,嫩
鎔,鎔
篙,篙
旦,旦
郁,殺
滬,滬
諧,誥
滄,滄
悉,悉
萼,萼
鱸,驢
蘇,蘇
嚮,嚮
冠,兄
牢,牢
瑛,瑛
芋,芋
輔,輔
戌,庇
忿,念
該,該
寧,寧
挨,挨
疾,疾
告,供
飭,飭
蜥,蜥
戈,戈
市,市
星,星
祚,祚
撓,撓
盎,窒
僥,僥
縑,縑
藝,華
乾,乾
檳,揭
饑,饑
瀆,瀆
璽,璽
碩,碩
世,世
戰,戰
碎,碎
寫,寫
攻,皮
瞬,瞬
焊,焊
弭,弭
琉,成
肌,肌
鴣,鴣
運,逕
獺,獺
滅,滅
程,往
礎,礎
懶,啜
虛,盧
多,多
屏,屏
陡,陡
璋,璋
腆,腆
惺,惺
荏,荏
捷,捷
躡,躡
城,戕
晌,晌
匝,匝
淮,漁
孺,擇
蚵,蚵
告,告
慎,慎
忌,忌
招,招
鈕,鉑
聽,聽
唐,唐
夙,夙
老,老
峽,峽
蜥,蜥
決,決
吏,更
笠,笠
馬,馬
拈,枯
怯,怯
紫,笨
宇,牢
蛭,蛭
懾,懾
俎,組
狐,狐
砧,砧
遠,陡
騙,騙
根,根
亡,亡
硯,硯
矯,矯
觸,觸
鬚,鬚
遞,遞
址,址
睥,睥
肝,肺
倥,倥
澱,澱
臬,臬
葉,葉
拐,拐
樺,拌
顛,顛
埋,埋
吋,吋
蟹,蟹
膳,膳
胚,胚
錘,鍾
採,採
雁,雁
呼,呼
柩,框
媼,媼
倡,兌
嘰,嘰
紼,紼
烽,烽
慇,慇
息,息
抗,杭
蜜,蜜
颺,颺
賴,瀨
齒,齒
架,架
語,語
守,守
浸,浸
滾,滾
濡,濡
吼,吼
枸,村
呱,鳴
祚,祚
閣,閣
陵,嚎
穡,穡
季,季
導,導
嘰,嘰
鰍,鰍
祆,祆
硼,硼
哲,哲
旦,旦
擁,擁
瓶,瓶
苔,苔
困,困
谷,谷
鑲,鎳
圭,圭
鳶,鳶
擾,擾
霓,霓
藏,藏
舜,舜
媚,媚
璜,璜
溼,逕
鶯,鶯
箋,箋
詹,詹
默,黜
仗,恢
喟,喝
德,德
保,保
鴿,鵠
濁,濁
眨,旺
踢,踢
莽,莽
蹋,蹋
簾,簾
磕,魂
筒,筒
摔,摔
壞,壤
撬,撬
塾,墊
婪,婪
輦,輦
兒,兒
角,角
黍,黍
擬,擬
姑,姑
桑,桑
軍,軍
奈,奈
糞,糞
待,待
唾,唾
餽,鵠
靦,靦
悍,悍
重,重
鉋,鉋
樊,樊
緻,緻
誤,誤
牡,牡
纏,纏
成,成
唷,唷
佾,佾
嗑,嗑
引,引
迢,迢
裁,栽
桌,桌
樸,樸
甕,甕
隸,棣
秩,秩
養,蕃
鐲,鐲
邊,籃
哀,哀
陴,陴
壺,壺
鏽,鏽
話,話
搪,搪
先,先
差,差
鴦,袋
柞,柞
湖,湖
蜻,恃
齲,齲
髭,髭
鞦,鞦
氛,氛
遲,遲
詆,珀
惰,惰
昔,昔
駒,駒
夸,夸
憲,窖
旎,旎
埃,埃
屈,屈
遮,遞
卸,卸
室,室
匾,忌
僕,僕
薇,薇
顆,顆
施,框
悍,悍
塢,塌
爪,爪
規,規
轍,轍
仔,仔
迷,迷
說,說
擇,嬋
漁,漁
極,極
蓆,貪
徘,徬
噫,噫
轉,轉
播,播
蜥,蜥
罟,苔
竣,竣
倆,何
傯,傯
綸,給
諺,諺
茂,茂
購,瞞
寵,寵
壟,壟
管,管
綽,綜
夙,夙
竊,竊
氯,氦
泌,泌
石,石
稷,稷
嘛,嘛
泄,灶
煬,煬
瓏,瓏
倘,倘
廝,廝
掌,掌
操,操
膿,膿
蝴,蝴
恣,恣
衰,表
醇,醇
痕,痕
絃,絃
香,差
驛,駢
咳,咳
鰓,鰓
拯,拯
蟬,嬋
怖,降
直,直
療,姪
谿,谿
呈,呈
推,推
謗,謗
告,告
遲,遲
肋,肋
梁,粱
破,飽
桓,桓
諱,諱
前,前
祺,祺
襠,襠
喝,喝
罄,罄
頂,頂
轂,敲
谿,谿
吊,吊
惆,桐
儀,儐
作,作
升,芹
渾,沛
凋,凋
臆,臆
髯,髯
師,帥
插,插
挾,挾
阡,阡
顎,顎
遺,遺
張,張
攏,攏
抄,抄
漣,涎
酋,酋
葫,葫
捻,捻
親,枕
健,健
港,港
娥,鑰
謀,謀
甦,甦
己,己
捆,捆
汐,汐
礫,襟
邱,邱
讓,壕
逍,逍
擲,擲
案,案
灌,灌
歷,瀝
皿,皿
鈔,鈔
祠,祠
畜,畜
鼇,鼇
癱,癱
虜,虜
服,服
凜,凜
及,及
園,圈
煥,煥
愣,愣
業,業
解,解
銅,鋼
劇,剷
也,也
喜,喜
仁,仁
胤,混
沃,泛
燉,燉
泌,淋
磚,磚
勃,勃
乳,乳
壞,壤
籐,筷
等,竽
姿,姿
孳,孳
歷,佬
態,態
馨,馨
間,間
哪,哪
